row_id,grammar,lats,K,N,pd,true_pct,src,verbatim,span,N,K,log2K,pd,m_s,fresh,mean_lag,std_lag,max_lag,min_lag,r,m
62,tri,"[0, 0, 15, 15, 30, 30]",4,6,3,15.0,spin9-output.txt,"66/144 |       tri | [0, 0, 15, 15, 30, 30] |         4 |       152 |       150 |       147 |       153 |       148 |      15.0 |     17292 |    415532",30,6,4,2.0,3,0.458333,2,15.0,12.247449,30,0,2.0,0.857143
63,tri,"[0, 0, 15, 15, 30, 30]",8,6,3,15.7,spin9-output.txt,"66/144 |       tri | [0, 0, 15, 15, 30, 30] |         8 |       156 |       152 |       154 |       165 |       157 |      15.7 |     17339 |    418254",30,6,8,3.0,3,0.458333,2,15.0,12.247449,30,0,2.0,0.857143
64,c3_3,"[0, 0, 0, 30, 30, 30]",1,6,3,49.3,spin9-output.txt;spin5-output.txt;spin5-output.txt;spin4-output.txt,"72/144 |      c3_3 | [0, 0, 0, 30, 30, 30] |         1 |       492 |       495 |       500 |       483 |       494 |      49.3 |     14746 |    655994",30,6,1,0.0,3,0.5,3,15.0,15.0,30,0,2.0,0.857143
65,c3_3,"[0, 0, 0, 30, 30, 30]",2,6,3,33.3,spin9-output.txt;spin5-output.txt;spin5-output.txt;spin4-output.txt,"72/144 |      c3_3 | [0, 0, 0, 30, 30, 30] |         2 |       332 |       322 |       345 |       354 |       312 |      33.3 |     19980 |    787604",30,6,2,1.0,3,0.5,3,15.0,15.0,30,0,2.0,0.857143
66,c3_3,"[0, 0, 0, 30, 30, 30]",4,6,3,21.7,spin9-output.txt,"72/144 |      c3_3 | [0, 0, 0, 30, 30, 30] |         4 |       219 |       217 |       216 |       214 |       221 |      21.7 |     22768 |    574951",30,6,4,2.0,3,0.5,3,15.0,15.0,30,0,2.0,0.857143
67,c3_3,"[0, 0, 0, 30, 30, 30]",8,6,3,21.7,spin9-output.txt;spin4-output.txt,"72/144 |      c3_3 | [0, 0, 0, 30, 30, 30] |         8 |       213 |       211 |       220 |       222 |       217 |      21.7 |     22735 |    575741",30,6,8,3.0,3,0.5,3,15.0,15.0,30,0,2.0,0.857143
68,g3,"[0, 8, 16, 24, 28, 30]",1,6,3,16.5,spin9-output.txt,"76/144 |        g3 | [0, 8, 16, 24, 28, 30] |         1 |       170 |       162 |       164 |       161 |       167 |      16.5 |     15630 |    410752",30,6,1,0.0,3,0.527778,1,17.666667,10.857665,30,0,2.0,0.857143
69,g3,"[0, 8, 16, 24, 28, 30]",2,6,3,26.3,spin9-output.txt,"76/144 |        g3 | [0, 8, 16, 24, 28, 30] |         2 |       255 |       258 |       268 |       271 |       261 |      26.3 |     16302 |    456408",30,6,2,1.0,3,0.527778,1,17.666667,10.857665,30,0,2.0,0.857143
70,g3,"[0, 8, 16, 24, 28, 30]",4,6,3,11.1,spin9-output.txt,"76/144 |        g3 | [0, 8, 16, 24, 28, 30] |         4 |       108 |       112 |       111 |       114 |       111 |      11.1 |     15814 |    352349",30,6,4,2.0,3,0.527778,1,17.666667,10.857665,30,0,2.0,0.857143
71,g3,"[0, 8, 16, 24, 28, 30]",8,6,3,11.7,spin9-output.txt,"76/144 |        g3 | [0, 8, 16, 24, 28, 30] |         8 |       114 |       113 |       117 |       123 |       116 |      11.7 |     15785 |    354430",30,6,8,3.0,3,0.527778,1,17.666667,10.857665,30,0,2.0,0.857143
72,b2_4,"[0, 0, 30, 30, 30, 30]",1,6,3,21.1,spin9-output.txt,"96/144 |      b2_4 | [0, 0, 30, 30, 30, 30] |         1 |       200 |       206 |       216 |       232 |       199 |      21.1 |     18130 |    574142",30,6,1,0.0,3,0.666667,2,20.0,14.142136,30,0,2.0,0.857143
73,b2_4,"[0, 0, 30, 30, 30, 30]",2,6,3,29.7,spin9-output.txt,"96/144 |      b2_4 | [0, 0, 30, 30, 30, 30] |         2 |       301 |       298 |       308 |       280 |       300 |      29.7 |     16430 |    721234",30,6,2,1.0,3,0.666667,2,20.0,14.142136,30,0,2.0,0.857143
74,b2_4,"[0, 0, 30, 30, 30, 30]",4,6,3,16.7,spin9-output.txt,"96/144 |      b2_4 | [0, 0, 30, 30, 30, 30] |         4 |       161 |       175 |       164 |       170 |       166 |      16.7 |     19042 |    501243",30,6,4,2.0,3,0.666667,2,20.0,14.142136,30,0,2.0,0.857143
75,b2_4,"[0, 0, 30, 30, 30, 30]",8,6,3,16.3,spin9-output.txt,"96/144 |      b2_4 | [0, 0, 30, 30, 30, 30] |         8 |       156 |       169 |       165 |       162 |       163 |      16.3 |     18797 |    498491",30,6,8,3.0,3,0.666667,2,20.0,14.142136,30,0,2.0,0.857143
76,l1_5,"[0, 30, 30, 30, 30, 30]",1,6,3,13.2,spin9-output.txt,"120/144 |      l1_5 | [0, 30, 30, 30, 30, 30] |         1 |       138 |       137 |       122 |       128 |       135 |      13.2 |     14879 |    396566",30,6,1,0.0,3,0.833333,1,25.0,11.18034,30,0,2.0,0.857143
77,l1_5,"[0, 30, 30, 30, 30, 30]",2,6,3,18.2,spin9-output.txt,"120/144 |      l1_5 | [0, 30, 30, 30, 30, 30] |         2 |       181 |       177 |       185 |       177 |       188 |      18.2 |     17045 |    612985",30,6,2,1.0,3,0.833333,1,25.0,11.18034,30,0,2.0,0.857143
78,l1_5,"[0, 30, 30, 30, 30, 30]",4,6,3,9.6,spin9-output.txt,"120/144 |      l1_5 | [0, 30, 30, 30, 30, 30] |         4 |        93 |        91 |       103 |        96 |        97 |       9.6 |     13227 |    344327",30,6,4,2.0,3,0.833333,1,25.0,11.18034,30,0,2.0,0.857143
79,l1_5,"[0, 30, 30, 30, 30, 30]",8,6,3,10.2,spin9-output.txt,"120/144 |      l1_5 | [0, 30, 30, 30, 30, 30] |         8 |       101 |        99 |       104 |       105 |       103 |      10.2 |     13071 |    345733",30,6,8,3.0,3,0.833333,1,25.0,11.18034,30,0,2.0,0.857143
80,ladder,"[0, 3, 6, 9, 12, 15]",1,6,3,71.5,spin5-output.txt;spin4-output.txt,"15 |   ladder | [0, 3, 6, 9, 12, 15] |        1 |      709 |      713 |      721 |      714 |      717 |     71.5 |     36.4 |     5792 |   106378 |        4 |      350 |      313 |       57",15,6,1,0.0,3,0.125,3,7.5,5.123475,15,0,1.0,0.857143
81,ladder,"[0, 3, 6, 9, 12, 15]",2,6,3,60.0,spin5-output.txt;spin4-output.txt,"15 |   ladder | [0, 3, 6, 9, 12, 15] |        2 |      603 |      623 |      599 |      591 |      586 |     60.0 |     24.9 |     9481 |   259758 |      112 |      565 |      491 |      245",15,6,2,1.0,3,0.125,3,7.5,5.123475,15,0,1.0,0.857143
82,cohort,"[0, 0, 0, 15, 15, 15]",1,6,3,57.1,spin5-output.txt;spin5-output.txt;spin4-output.txt,"15 |   cohort | [0, 0, 0, 15, 15, 15] |        1 |      572 |      572 |      571 |      569 |      573 |     57.1 |     14.0 |    12625 |   299487 |        0 |     1000 |       18 |       11",15,6,1,0.0,3,0.1875,3,7.5,7.5,15,0,1.0,0.857143
83,cohort,"[0, 0, 0, 15, 15, 15]",2,6,3,41.8,spin5-output.txt;spin5-output.txt;spin4-output.txt,"15 |   cohort | [0, 0, 0, 15, 15, 15] |        2 |      423 |      425 |      421 |      388 |      434 |     41.8 |     10.5 |    17158 |   563178 |      160 |     1000 |      599 |      642",15,6,2,1.0,3,0.1875,3,7.5,7.5,15,0,1.0,0.857143
84,tri,"[0, 0, 7, 7, 15, 15]",1,6,3,64.6,spin5-output.txt,"15 |      tri | [0, 0, 7, 7, 15, 15] |        1 |      642 |      640 |      650 |      648 |      649 |     64.6 |     26.4 |     9165 |   181964 |        3 |     1000 |      194 |      177",15,6,1,0.0,3,0.138889,2,7.333333,6.128259,15,0,1.0,0.857143
